MBNL3	SALL4	1.76577375287589
KRT8	SALL4	-1.72461459616214
TSPAN8	SALL4	1.58035027910956
MBNL3	TCFAP2C	1.50392259335161
KRT8	TCFAP2C	-1.46885247995498
KLF5	SALL4	-1.45316238417671
MBNL3	DAB2	1.42188033505194
MBNL3	FGFR2	1.42023252868527
MBNL3	ACTB	1.41373582825855
MBNL3	GAPDH	-1.41373582820589
KRT8	DAB2	-1.38870965777483
KRT8	FGFR2	-1.38712642471164
MBNL3	KLF5	1.38449391365038
KRT8	ACTB	-1.38074614414748
KRT8	GAPDH	1.38074614409303
KRT8	KLF5	-1.35217668043506
TSPAN8	TCFAP2C	1.34592116157048
MBNL3	POU5F1	1.32082633314802
AHCY	SALL4	-1.31108679477207
GATA6	SALL4	-1.30940483753657
UTF1	SALL4	-1.30617939827076
NANOG	SALL4	-1.30437266081608
GRHL1	SALL4	1.29575229054077
KRT8	POU5F1	-1.29001194751987
MBNL3	KLF2	1.28228791154132
TSPAN8	DAB2	1.27247136974868
TSPAN8	FGFR2	1.27110880866484
TSPAN8	ACTB	1.2651224304743
TSPAN8	GAPDH	-1.26512243041053
MBNL3	AQP3	1.25704544592487
KRT8	KLF2	-1.25238594296236
MBNL3	RUNX1	1.24655742807255
GATA4	SALL4	1.24072449725162
TSPAN8	KLF5	1.23889428293804
KLF5	TCFAP2C	-1.23694173373176
KRT8	AQP3	-1.22770951698921
KRT8	RUNX1	-1.21749871290357
PDGFA	SALL4	-1.21374785017928
TSPAN8	POU5F1	1.1819884843607
MBNL3	ESRRB	1.17095748435123
KLF5	DAB2	-1.16917429368914
KLF5	FGFR2	-1.16893313556162
MBNL3	HAND1	1.1669543224927
MBNL3	CDX2	1.16634540396164
KLF5	ACTB	-1.1619023790016
KLF5	GAPDH	1.1619023787974
TSPAN8	KLF2	1.14756495008877
KRT8	ESRRB	-1.14366343184008
KRT8	HAND1	-1.13975354331612
KRT8	CDX2	-1.13912701550292
KLF5	KLF5	-1.13728792489932
TSPAN8	AQP3	1.12487867263989
AHCY	TCFAP2C	-1.11622160665656
MBNL3	GATA6	1.11610238886768
TSPAN8	RUNX1	1.11566465835074
GATA6	TCFAP2C	-1.1146240332582
UTF1	TCFAP2C	-1.11189030875308
NANOG	TCFAP2C	-1.1104637408894
GRHL1	TCFAP2C	1.10371444567656
KRT8	GATA6	-1.09004975479775
KLF5	POU5F1	-1.08564920607376
CEBPA	SALL4	1.07036657402905
MBNL3	KLF4	1.06070699258557
